Order,PID,MS SubClass,MS Zoning,Lot Frontage, ,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Year,Rooms,,
1,526321122,22,RL,"141,00",2,31772,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1962,1962,Hip,CompShg,BrkFace,Plywood,Stone,112,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,Unf,2,441,1282,GasA,Fa,Y,SBrkr,1656,2,2,1656,1,2,1,2,3,1,TA,7,Typ,2,Gd,Attchd,1962,Fin,2,528,TA,TA,P,212,62,2,2,2,2,,,,2,5,2212,WD ,Normal,215222,1999 or older,7 rooms or more,
2,526321122,22,RH,"82,00",2,11622,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,272,882,GasA,TA,Y,SBrkr,896,2,2,896,2,2,1,2,2,1,TA,5,Typ,2,,Attchd,1961,Unf,1,732,TA,TA,Y,142,2,2,2,122,2,,MnPrv,,2,6,2212,WD ,Normal,125222,1999 or older,6 rooms or less,
3,526321122,22,RL,"81,00",2,14267,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,128,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,2,426,1329,GasA,TA,Y,SBrkr,1329,2,2,1329,2,2,1,1,3,1,Gd,6,Typ,2,,Attchd,1958,Unf,1,312,TA,TA,Y,393,36,2,2,2,2,,,Gar2,12522,6,2212,WD ,Normal,172222,1999 or older,6 rooms or less,
4,526321122,22,RL,"93,00",2,11162,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,2,Gd,TA,CBlock,TA,TA,No,ALQ,1265,Unf,2,1245,2112,GasA,Ex,Y,SBrkr,2112,2,2,2112,1,2,2,1,3,1,Ex,8,Typ,2,TA,Attchd,1968,Fin,2,522,TA,TA,Y,2,2,2,2,2,2,,,,2,4,2212,WD ,Normal,244222,1999 or older,7 rooms or more,
5,526321122,62,RL,"74,00",2,13832,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,2,137,928,GasA,Gd,Y,SBrkr,928,721,2,1629,2,2,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997,Fin,2,482,TA,TA,Y,212,34,2,2,2,2,,MnPrv,,2,3,2212,WD ,Normal,189922,1999 or older,6 rooms or less,
6,526321122,62,RL,"78,00",2,9978,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,22,TA,TA,PConc,TA,TA,No,GLQ,622,Unf,2,324,926,GasA,Ex,Y,SBrkr,926,678,2,1624,2,2,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998,Fin,2,472,TA,TA,Y,362,36,2,2,2,2,,,,2,6,2212,WD ,Normal,195522,1999 or older,7 rooms or more,
7,526321122,122,RL,"41,00",2,4922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2221,2221,Gable,CompShg,CemntBd,CmentBd,None,2,Gd,TA,PConc,Gd,TA,Mn,GLQ,616,Unf,2,722,1338,GasA,Ex,Y,SBrkr,1338,2,2,1338,1,2,2,2,2,1,Gd,6,Typ,2,,Attchd,2221,Fin,2,582,TA,TA,Y,2,2,172,2,2,2,,,,2,4,2212,WD ,Normal,213522,2222 or newer,6 rooms or less,
8,526321122,122,RL,"43,00",2,5225,Pave,,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,2,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,2,1217,1282,GasA,Ex,Y,SBrkr,1282,2,2,1282,2,2,2,2,2,1,Gd,5,Typ,2,,Attchd,1992,RFn,2,526,TA,TA,Y,2,82,2,2,144,2,,,,2,1,2212,WD ,Normal,191522,1999 or older,6 rooms or less,
9,526321122,122,RL,"39,00",2,5389,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,2,Gd,TA,PConc,Gd,TA,No,GLQ,1182,Unf,2,415,1595,GasA,Ex,Y,SBrkr,1616,2,2,1616,1,2,2,2,2,1,Gd,5,Typ,1,TA,Attchd,1995,RFn,2,628,TA,TA,Y,237,152,2,2,2,2,,,,2,3,2212,WD ,Normal,236522,1999 or older,6 rooms or less,
12,526321122,62,RL,"62,00",2,7522,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,PConc,TA,TA,No,Unf,2,Unf,2,994,994,GasA,Gd,Y,SBrkr,1228,776,2,1824,2,2,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1999,Fin,2,442,TA,TA,Y,142,62,2,2,2,2,,,,2,6,2212,WD ,Normal,189222,1999 or older,7 rooms or more,
